,datetime,open,high,low,close
20170419225648,2017-04-19 22:56:48,1275.7,1276.1,1275.7,1276.0
20170419225649,2017-04-19 22:56:49,1276.0,1276.1,1275.7,1275.8
20170419225649,2017-04-19 22:56:49,1275.8,1276.1,1275.7,1276.0
20170419225650,2017-04-19 22:56:50,1276.0,1276.1,1275.5,1275.9
20170419225651,2017-04-19 22:56:51,1275.9,1276.4,1275.5,1275.6
20170419225652,2017-04-19 22:56:52,1275.6,1276.3,1275.4,1276.2
20170419225653,2017-04-19 22:56:53,1276.1,1276.2,1275.6,1276.1
20170419225655,2017-04-19 22:56:55,1276.2,1277.2,1276.1,1277.2
20170419225657,2017-04-19 22:56:57,1277.2,1277.5,1277.1,1277.4
20170419225703,2017-04-19 22:57:03,1277.4,1278.6,1277.3,1278.5
20170419225711,2017-04-19 22:57:11,1278.6,1278.8,1278.0,1278.5
20170419225722,2017-04-19 22:57:22,1278.5,1278.7,1278.0,1278.5
20170419225741,2017-04-19 22:57:41,1278.5,1278.9,1277.9,1278.8
20170419225800,2017-04-19 22:58:00,1278.7,1279.4,1278.7,1279.1
20170419225814,2017-04-19 22:58:14,1279.1,1279.5,1279.0,1279.4
20170419225841,2017-04-19 22:58:41,1279.3,1279.7,1279.1,1279.4
20170419225858,2017-04-19 22:58:58,1279.4,1279.9,1279.2,1279.8
20170419225942,2017-04-19 22:59:42,1279.7,1279.8,1279.0,1279.0
20170419230014,2017-04-19 23:00:14,1279.0,1279.8,1278.8,1279.7
20170419230040,2017-04-19 23:00:40,1279.7,1280.2,1279.6,1280.0
20170419230112,2017-04-19 23:01:12,1279.9,1280.5,1279.9,1280.1
20170419230145,2017-04-19 23:01:45,1280.1,1281.0,1280.0,1280.9
20170419230221,2017-04-19 23:02:21,1280.8,1280.9,1280.3,1280.4
20170419230310,2017-04-19 23:03:10,1280.4,1280.7,1280.1,1280.6
20170419230341,2017-04-19 23:03:41,1280.7,1281.1,1280.3,1280.7
20170419230413,2017-04-19 23:04:13,1280.7,1281.0,1280.5,1280.6
20170419230528,2017-04-19 23:05:28,1280.6,1281.0,1280.1,1280.2
20170419230612,2017-04-19 23:06:12,1280.2,1280.3,1279.7,1280.2
20170419230719,2017-04-19 23:07:19,1280.2,1280.6,1279.9,1280.4
20170419230828,2017-04-19 23:08:28,1280.4,1280.5,1279.5,1279.5
20170419230858,2017-04-19 23:08:58,1279.5,1280.3,1279.5,1280.0
20170419231008,2017-04-19 23:10:08,1279.9,1280.0,1279.0,1279.3
20170419231048,2017-04-19 23:10:48,1279.3,1279.7,1278.7,1278.7
20170419231152,2017-04-19 23:11:52,1278.8,1279.4,1278.7,1278.8
20170419231302,2017-04-19 23:13:02,1278.9,1278.9,1278.3,1278.7
20170419231356,2017-04-19 23:13:56,1278.8,1279.0,1278.5,1278.6
20170419231511,2017-04-19 23:15:11,1278.6,1279.6,1278.6,1279.2
20170419231656,2017-04-19 23:16:56,1279.2,1279.8,1279.0,1279.5
20170419231824,2017-04-19 23:18:24,1279.6,1279.7,1279.1,1279.1
20170419232100,2017-04-19 23:21:00,1279.1,1279.7,1279.1,1279.5
20170419232421,2017-04-19 23:24:21,1279.5,1279.5,1279.0,1279.0
20170419232610,2017-04-19 23:26:10,1279.0,1279.0,1278.3,1278.6
20170419232751,2017-04-19 23:27:51,1278.6,1279.4,1278.5,1279.0
20170419233011,2017-04-19 23:30:11,1279.1,1280.1,1279.0,1280.1
20170419233138,2017-04-19 23:31:38,1280.1,1280.7,1280.0,1280.7
20170419233200,2017-04-19 23:32:00,1280.7,1281.7,1280.6,1281.7
20170419233225,2017-04-19 23:32:25,1281.7,1282.5,1281.4,1282.1
20170419233242,2017-04-19 23:32:42,1282.1,1282.6,1282.1,1282.2
20170419233307,2017-04-19 23:33:07,1282.2,1282.6,1281.6,1281.7
20170419233402,2017-04-19 23:34:02,1281.7,1282.0,1281.5,1281.5
20170419233506,2017-04-19 23:35:06,1281.5,1282.2,1281.5,1281.7
20170419233633,2017-04-19 23:36:33,1281.7,1281.7,1281.4,1281.6
20170419233854,2017-04-19 23:38:54,1281.6,1282.4,1281.4,1282.4
20170419234059,2017-04-19 23:40:59,1282.4,1282.9,1282.3,1282.6
20170419234142,2017-04-19 23:41:42,1282.6,1282.9,1282.1,1282.2
20170419234328,2017-04-19 23:43:28,1282.2,1282.4,1281.9,1282.2
20170419234600,2017-04-19 23:46:00,1282.2,1282.2,1281.2,1281.3
20170419234732,2017-04-19 23:47:32,1281.3,1282.1,1281.2,1282.0
20170419234947,2017-04-19 23:49:47,1282.1,1283.3,1282.0,1283.2
20170419235019,2017-04-19 23:50:19,1283.2,1283.2,1282.3,1282.5
20170419235217,2017-04-19 23:52:17,1282.5,1283.2,1282.0,1283.1
20170419235405,2017-04-19 23:54:05,1283.0,1283.1,1282.4,1282.5
20170419235606,2017-04-19 23:56:06,1282.5,1282.7,1281.6,1281.7
20170419235713,2017-04-19 23:57:13,1281.7,1282.1,1281.5,1281.6
20170419235843,2017-04-19 23:58:43,1281.6,1281.6,1281.1,1281.6
20170420000000,2017-04-20 00:00:00,1281.6,1281.7,1280.5,1280.7
20170420000040,2017-04-20 00:00:40,1280.7,1281.4,1280.7,1281.4
20170420000226,2017-04-20 00:02:26,1281.4,1281.8,1281.4,1281.6
20170420000621,2017-04-20 00:06:21,1281.6,1282.0,1281.1,1282.0
20170420001012,2017-04-20 00:10:12,1282.0,1283.0,1281.9,1282.8
20170420001114,2017-04-20 00:11:14,1282.8,1283.2,1282.3,1282.5
20170420001324,2017-04-20 00:13:24,1282.5,1283.0,1282.4,1282.6
20170420001708,2017-04-20 00:17:08,1282.6,1282.6,1281.3,1281.4
20170420002048,2017-04-20 00:20:48,1281.3,1282.2,1281.3,1281.4
20170420002341,2017-04-20 00:23:41,1281.4,1281.5,1280.8,1281.3
20170420002548,2017-04-20 00:25:48,1281.3,1282.0,1281.2,1281.8
20170420002728,2017-04-20 00:27:28,1281.9,1282.0,1281.4,1281.6
20170420003229,2017-04-20 00:32:29,1281.6,1281.9,1281.2,1281.8
20170420003733,2017-04-20 00:37:33,1281.8,1282.1,1280.7,1280.7
20170420004204,2017-04-20 00:42:04,1280.7,1280.8,1280.2,1280.7
20170420004343,2017-04-20 00:43:43,1280.6,1280.7,1279.9,1280.2
20170420004547,2017-04-20 00:45:47,1280.2,1280.6,1280.0,1280.4
20170420004816,2017-04-20 00:48:16,1280.4,1281.1,1280.3,1281.1
20170420005217,2017-04-20 00:52:17,1281.1,1281.5,1281.1,1281.2
20170420005404,2017-04-20 00:54:04,1281.2,1281.2,1280.2,1280.5
20170420005638,2017-04-20 00:56:38,1280.5,1281.0,1280.2,1280.2
20170420010005,2017-04-20 01:00:05,1280.2,1280.3,1279.5,1279.5
20170420010127,2017-04-20 01:01:27,1279.5,1279.8,1279.1,1279.2
20170420010226,2017-04-20 01:02:26,1279.2,1280.4,1279.1,1280.3
20170420010416,2017-04-20 01:04:16,1280.3,1281.0,1280.1,1280.9
20170420010525,2017-04-20 01:05:25,1280.9,1281.8,1280.7,1281.6
20170420010620,2017-04-20 01:06:20,1281.6,1281.6,1280.9,1281.0
20170420010918,2017-04-20 01:09:18,1281.0,1282.8,1281.0,1282.7
20170420011021,2017-04-20 01:10:21,1282.8,1283.1,1282.4,1282.5
20170420011053,2017-04-20 01:10:53,1282.5,1282.6,1282.1,1282.3
20170420011254,2017-04-20 01:12:54,1282.3,1282.7,1281.9,1282.4
20170420011609,2017-04-20 01:16:09,1282.4,1283.1,1282.4,1282.7
20170420011830,2017-04-20 01:18:30,1282.7,1283.9,1282.6,1283.9
20170420011926,2017-04-20 01:19:26,1283.9,1284.5,1283.8,1284.0
20170420012000,2017-04-20 01:20:00,1283.9,1284.1,1283.1,1283.3
20170420012208,2017-04-20 01:22:08,1283.2,1283.5,1282.9,1283.5
20170420012537,2017-04-20 01:25:37,1283.5,1283.9,1283.3,1283.7
20170420012850,2017-04-20 01:28:50,1283.7,1284.4,1283.4,1283.4
20170420013101,2017-04-20 01:31:01,1283.4,1284.0,1283.4,1283.5
20170420013525,2017-04-20 01:35:25,1283.5,1284.8,1283.4,1284.6
20170420013707,2017-04-20 01:37:07,1284.5,1284.6,1283.7,1284.1
20170420014019,2017-04-20 01:40:19,1284.1,1284.2,1283.5,1283.8
20170420014348,2017-04-20 01:43:48,1283.8,1283.8,1282.8,1282.8
20170420014607,2017-04-20 01:46:07,1282.8,1283.8,1282.7,1283.6
20170420014955,2017-04-20 01:49:55,1283.6,1283.6,1282.8,1283.5
20170420015526,2017-04-20 01:55:26,1283.5,1284.0,1283.0,1283.6
20170420015959,2017-04-20 01:59:59,1283.7,1283.7,1283.1,1283.6
20170420020330,2017-04-20 02:03:30,1283.6,1283.9,1283.2,1283.8
20170420020813,2017-04-20 02:08:13,1283.8,1284.2,1283.4,1283.6
20170420021133,2017-04-20 02:11:33,1283.7,1284.2,1283.4,1283.5
20170420021639,2017-04-20 02:16:39,1283.5,1284.0,1283.2,1283.5
20170420022200,2017-04-20 02:22:00,1283.5,1283.7,1283.1,1283.7
20170420022555,2017-04-20 02:25:55,1283.6,1284.1,1283.5,1283.7
20170420022754,2017-04-20 02:27:54,1283.7,1283.8,1282.8,1283.3
20170420022913,2017-04-20 02:29:13,1283.3,1283.7,1282.6,1282.7
20170420023158,2017-04-20 02:31:58,1282.7,1283.5,1282.7,1283.5
20170420024035,2017-04-20 02:40:35,1283.5,1283.5,1282.7,1282.8
20170420024449,2017-04-20 02:44:49,1282.8,1282.9,1282.0,1282.2
20170420024812,2017-04-20 02:48:12,1282.2,1282.8,1282.1,1282.6
20170420025421,2017-04-20 02:54:21,1282.5,1283.2,1281.9,1281.9
20170420030032,2017-04-20 03:00:32,1281.9,1283.0,1281.8,1282.8
20170420030450,2017-04-20 03:04:50,1282.9,1283.2,1282.4,1282.6
